state,TL,TC,TR,ML,MC,MR,BL,BC,BR
_+X+O+_+_+_+ + + ,0.0,0.0,0.05995768946688002,0.0,0.0,0.0,0.0,0.0,0.0
_+_+_+_+_+X+X+ +O,0.687440872228166,0.6066564120429216,0.5426255809925087,0.5397910156784906,0.5741300848714098,0.0,0.0,0.4469513985314093,0.0
_+X+O+_+X+X+X+O+O,0.0,0.0,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0
_+X+O+O+X+X+X+O+O,0.0,0.0,0.4887410009315738,0.3951424000000001,0.0,0.0,0.0,0.1,0.0
_+X+O+_+_+X+X+O+O,0.0,0.0,0.10627200000000002,0.0,0.0,0.0,0.0,0.2526548889600001,0.0
_+_+_+_+_+X+X+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4125016264863578,0.2978172109484033
_+X+X+O+_+_+ +X+O,0.3969574881456711,0.0,0.0,0.0,0.4963185386858524,0.20021113272658808,0.2161930556982992,0.0,0.0
_+X+X+O+_+_+O+X+O,0.0,0.0,0.0,0.4581043953500161,0.0,0.0,0.2,0.0,0.0
_+X+_+O+_+_+ +X+O,0.0,0.0,0.0,0.11664000000000002,0.0,0.0,0.0,0.0,0.19337600000000005
O+X+X+_+_+_+ +O+X,0.0,0.0,0.0,0.2526123949842866,0.20670103456342567,0.4395206710699555,0.2359251817074813,0.0,0.0
O+X+X+_+X+_+O+O+X,0.0,0.0,0.0,0.9999999999999998,0.0,0.4999999999930009,0.0,0.0,0.0
O+X+X+_+X+O+O+O+X,0.18000000000000002,0.0,0.0,0.0,0.0,0.33616,0.0,0.0,0.0
O+X+X+_+_+_+O+O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O+X+_+_+_+_+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005832,0.0
X+_+_+_+_+X+O+ + ,0.0,0.6406245676165364,0.7170471179749835,0.4252866654070354,0.7478929698428722,0.0,0.0,0.7632766123013632,0.8609564286580842
X+_+_+X+_+X+O+ +O,0.0,0.584094775352174,0.7012738336543356,0.0,0.8999999997980379,0.0,0.0,0.9999999999999998,0.0
X+_+_+X+_+X+O+O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X+_+_+_+_+X+O+ +O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X+_+_+_+_+_+O+ + ,0.0,0.0,0.0,0.0,0.0,0.0,0.03984412785475242,0.0,0.0
_+X+X+O+_+_+ +O+X,0.0,0.0,0.0,0.0,0.0,0.2077761278551916,0.4981248971566016,0.0,0.0
_+X+X+O+X+_+O+O+X,0.9999999992229328,0.0,0.0,0.0,0.0,0.005629499534213125,0.0,0.0,0.0
_+X+X+O+X+O+O+O+X,0.0,0.0,0.0,0.91410065408,0.0,0.5904,0.0,0.0,0.0
_+X+X+O+_+_+O+O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.29681408000000004,0.0,0.0
_+_+X+O+_+_+ +O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02178316800000001,0.0
_+X+_+_+_+_+ +O+X,0.3785549298827902,0.0,0.5448494021016662,0.3828177192263311,0.5326392903290463,0.4068319155882072,0.5297173111354927,0.0,0.0
X+X+_+_+_+_+O+O+X,0.0,0.0,0.5790076015797458,0.0019469741839193446,0.6341627796616903,0.0002702826351304856,0.0,0.0,0.0
X+X+_+_+_+O+O+O+X,0.0,0.0,0.0,0.0,0.0,0.8242291295420417,0.3280000000000001,0.2,0.0
_+X+_+_+_+_+O+O+X,0.0,0.0,0.0,0.0,0.0,0.0,0.3933471057483061,0.18222555122270206,0.0
X+_+_+X+_+_+ + +O,0.0,0.28535633322247644,0.2624017997336258,0.0,0.5797153286074213,0.7217210190144842,0.8936562401759287,0.7411149079167505,0.0
X+_+_+X+_+_+ +O+O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6112178526560144,0.18635776000000004
_+_+_+_+_+X+ +X+O,0.7700166261087571,0.5730542752245861,0.7711997341182917,0.5060142612542761,0.8640734457588379,0.0,0.748961173127707,0.0,0.0
_+_+_+_+X+X+O+X+O,0.1919490441215832,0.2336841858311714,0.0,0.39510377583661255,0.0,0.0,0.0,0.0,0.0
_+_+_+O+X+X+O+X+O,0.0,0.0,0.0,0.6269825425700051,0.0,0.0,0.3092211200000001,0.0,0.0
_+_+_+_+_+X+O+X+O,0.0,0.0,0.0,0.0,0.0,0.0,0.4653705166265593,0.0,0.18062011507869408
_+_+O+X+X+_+X+ +O,0.5103691950861724,0.3261608267584246,0.0,0.0,0.0,0.9999999999999998,0.0,0.17363233195395988,0.0
_+_+O+X+X+_+X+O+O,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.488,0.0
_+_+O+X+_+_+X+ +O,0.0,0.0,0.20678742119219207,0.0,0.0,0.0,0.0,0.0,0.0
_+_+X+O+_+_+X+ + ,0.4375557599290408,0.2701608670523251,0.0,0.0,0.8509569803275742,0.5829649340266139,0.0,0.25167439866580743,0.5816756049009844
_+_+X+O+_+_+X+X+O,0.27649151134853944,0.2497129357338006,0.0,0.0,0.8999999858488215,0.6732746981815697,0.0,0.0,0.0
_+_+X+O+_+O+X+X+O,0.0,0.0,0.0,0.2,0.0,0.028800000000000006,0.0,0.0,0.0
_+_+X+O+_+_+X+ +O,0.0,0.0,0.0,0.3945808821797504,0.0,0.0,0.0,0.0,0.19784759116300288
_+_+X+O+_+_+ + + ,0.0,0.0,0.0,0.0632397250862289,0.0,0.0,0.0,0.0,0.0
